topic_id,keyword_id
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
2,79
2,38
2,80
2,81
2,82
2,83
2,84
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,101
3,102
3,103
3,104
3,105
3,106
3,107
3,108
3,109
3,110
3,111
3,112
3,113
3,114
3,61
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
4,147
4,148
4,88
4,149
4,150
4,151
4,152
4,153
4,154
4,155
4,156
4,157
4,158
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,171
4,172
4,173
4,174
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,186
5,187
5,188
5,189
5,190
5,191
5,192
5,193
5,194
5,195
5,196
5,197
5,198
5,199
5,200
5,201
5,202
5,203
5,204
5,205
5,206
5,207
5,208
5,209
5,210
5,211
5,29
5,212
5,213
5,214
5,173
5,215
5,126
5,216
5,217
5,218
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,137
5,226
5,227
5,228
5,229
5,230
5,231
5,232
5,233
5,234
5,235
5,236
6,237
6,238
6,239
6,240
6,241
6,242
6,243
6,244
6,245
6,246
6,247
6,248
6,249
6,250
6,251
6,252
6,253
6,254
6,255
6,256
6,257
6,258
6,259
6,260
6,261
6,262
6,263
6,264
6,265
6,266
6,267
6,268
6,269
6,270
6,271
6,272
6,273
6,274
6,275
6,276
6,277
6,278
6,279
7,280
7,281
7,282
7,283
7,284
7,285
7,286
7,287
7,288
7,289
7,290
7,291
7,292
7,293
7,294
7,295
7,296
7,297
7,298
7,299
7,300
7,301
7,302
7,303
7,304
7,305
7,306
7,307
7,308
7,309
7,310
7,311
7,312
7,313
7,314
7,315
7,316
7,317
7,318
7,319
7,320
7,321
7,322
7,323
7,324
7,325
7,326
7,327
8,328
8,329
8,282
8,330
8,331
8,332
8,333
8,334
8,335
8,336
8,337
8,338
8,339
8,340
8,341
8,342
8,343
8,344
8,345
8,346
8,347
8,348
8,349
8,350
8,351
8,352
8,353
8,354
8,210
8,355
8,356
8,357
8,358
8,359
8,360
8,361
8,362
8,363
8,364
8,365
8,366
8,367
8,368
8,369
8,370
8,371
8,372
8,373
8,38
8,374
8,375
8,376
8,377
8,378
8,379
8,380
8,381
8,382
9,383
9,384
9,385
9,386
9,387
9,388
9,389
9,390
9,391
9,392
9,393
9,394
9,395
9,396
9,397
9,398
9,399
9,400
9,401
9,402
9,403
9,404
9,405
9,406
9,407
9,408
9,409
9,410
9,411
9,412
9,413
9,414
9,415
9,416
9,417
9,418
9,419
9,420
9,421
9,422
9,379
9,423
10,424
10,425
10,426
10,427
10,428
10,429
10,430
10,431
10,338
10,432
10,433
10,434
10,435
10,436
10,437
10,438
10,439
10,440
10,441
10,442
10,443
10,444
10,445
10,446
10,447
10,448
10,449
10,29
10,450
10,451
10,452
10,453
10,454
10,455
10,456
10,225
10,457
10,458
10,459
10,460
10,461
10,462
10,463
10,234
10,464
10,236
11,465
11,466
11,467
11,468
11,469
11,470
11,471
11,472
11,473
11,474
11,475
11,476
11,477
11,441
11,478
11,479
11,480
11,481
11,482
11,483
11,484
11,485
11,486
11,487
11,488
11,489
11,490
11,491
11,492
11,363
11,493
11,494
11,495
11,496
11,497
11,498
11,499
11,500
11,501
11,502
11,503
11,504
11,505
11,506
11,507
11,508
11,509
11,510
11,511
11,512
11,513
11,514
11,515
11,516
11,517
11,518
11,519
12,520
12,521
12,522
12,523
12,524
12,525
12,526
12,527
12,528
